"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Response rate,Footnote for response rate,Footnote Number
107644,3,11,3,11,89,11,3,11,85,11,3,11,80,11,4,11,82,11,80,11,50,11,12,11,11
107647,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
107650,Not Available,9,Not Available,9,84,9,Not Available,9,86,9,Not Available,9,84,9,Not Available,9,50,9,75,9,8,9,17,9,9
107651,2,11,3,11,83,11,1,11,74,11,1,11,66,11,2,11,71,11,71,11,46,11,29,11,11
107653,4,,4,,88,,3,,86,,4,,84,,4,,86,,80,,144,,21,,
107654,5,,5,,92,,4,,88,,4,,83,,5,,95,,80,,76,,34,,
107656,4,,4,,88,,4,,85,,3,,79,,4,,83,,76,,485,,25,,
107658,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
107660,5,11,5,11,92,11,5,11,94,11,4,11,85,11,5,11,93,11,86,11,65,11,16,11,11
107667,Not Available,9,Not Available,9,89,9,Not Available,9,97,9,Not Available,9,94,9,Not Available,9,77,9,94,9,8,9,18,9,9
107670,4,11,3,11,85,11,4,11,86,11,4,11,85,11,4,11,87,11,78,11,64,11,23,11,11
107671,4,,4,,89,,3,,80,,3,,80,,4,,84,,76,,244,,17,,
107673,Not Available,9,Not Available,9,87,9,Not Available,9,73,9,Not Available,9,61,9,Not Available,9,92,9,84,9,9,9,4,9,9
107675,4,,4,,91,,4,,87,,4,,83,,4,,85,,82,,98,,21,,
107677,Not Available,9,Not Available,9,91,9,Not Available,9,98,9,Not Available,9,92,9,Not Available,9,99,9,66,9,5,9,15,9,9
107680,Not Available,11,Not Available,11,84,11,Not Available,11,81,11,Not Available,11,78,11,Not Available,11,79,11,68,11,28,11,16,11,11
107681,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
107682,Not Available,9,Not Available,9,75,9,Not Available,9,83,9,Not Available,9,74,9,Not Available,9,92,9,42,9,2,9,9,9,9
107683,Not Available,11,Not Available,11,92,11,Not Available,11,97,11,Not Available,11,75,11,Not Available,11,94,11,89,11,22,11,14,11,11
107684,4,,4,,90,,5,,89,,3,,82,,5,,91,,83,,226,,30,,
107685,4,,4,,89,,4,,87,,3,,80,,4,,88,,71,,114,,18,,
107686,4,,4,,90,,4,,86,,4,,83,,4,,86,,78,,173,,24,,
107687,4,,5,,92,,4,,87,,2,,73,,5,,86,,82,,149,,26,,
107689,4,,4,,88,,4,,86,,4,,83,,4,,84,,79,,346,,28,,
107690,4,,4,,88,,4,,87,,5,,89,,4,,87,,80,,251,,25,,
